utt000000	幫您轉接給 Rita 邱先生,他的分機是 1399。
utt002272	您好,研發部的 Rita 林主任 為您服務。
utt002273	關於您的 Zoom 連結 問題,我幫您轉到業務部。
utt002274	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002275	Peter 目前正在開會,大約 35 分鐘後回來。
utt002276	不好意思,Cindy 剛離開,請問要留言給莊課長嗎?
utt002277	Andy 的 Excel 報表 已經準備好,請到 3 樓領取。
utt002278	關於您的 SSD 硬碟 問題,我幫您轉到品保部。
utt002279	麻煩您撥打 0956-254-985 聯絡 Daniel 賴先生,謝謝。
utt002280	您好,這裡是鼎新資訊,很高興為您服務。
utt002281	您好,這裡是宏達電子,很高興為您服務。
utt002282	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002283	幫您轉接給 Leo 陳主任,他的分機是 445。
utt002284	Joyce 的 Wi-Fi 已經準備好,請到 2 樓領取。
utt002285	Joyce 吳組長 請您回電,電話是 0913-875-682。
utt002286	您好,資訊部的 Betty 林主任 為您服務。
utt002287	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002288	今天的會議改到下午 2 點,地點在 15 樓會議室。
utt002289	這是 台灣精密 的語音信箱,請在嗶聲後留言。
utt002290	幫您轉接給 Emily 謝襄理,他的分機是 497。
utt002291	您的Teams 會議設定已完成,如有問題請撥分機 054。
utt002292	不好意思,Frank 剛離開,請問要留言給張經理嗎?
utt002293	Helen 江顧問 現在不在位子上,需要幫您留言嗎?
utt002294	幫您轉接給 Oscar 莊經理,他的分機是 245。
utt002295	您的快遞單號是 8906993557,預計明天送達。
utt002296	您的PDF 報價單設定已完成,如有問題請撥分機 976。
utt002297	請問您的訂單編號是?方便提供一下嗎?編號是 525895。
utt002298	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt002299	Jason 江副理 請您回電,電話是 02-4538-4849。
utt002300	Frank 的 Zoom 連結 已經準備好,請到 11 樓領取。
utt002301	Michael 目前正在開會,大約 21 分鐘後回來。
utt002302	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt002303	幫您轉接給 Cindy 黃小姐,請稍候。
utt002304	Daniel 的 email 已經準備好,請到 1 樓領取。
utt002305	Karen 陳課長 請您回電,電話是 07-7572-5765。
utt002306	請問您的訂單編號是?方便提供一下嗎?編號是 352098。
utt002307	您好,業務部的 Wendy 郭經理 為您服務。
utt002308	請問是 Alex 先生嗎?廖業務要找您。
utt002309	您撥的分機 127 忙線中,請稍後再撥。
utt002310	請問您是要報修 CRM 系統 還是 VPN?
utt002311	Oscar 吳先生 請您回電,電話是 0963-997-979。
utt002312	麻煩您撥打 07-5994-5966 聯絡 Ivy 王業務,謝謝。
utt002313	Amy 目前正在開會,大約 9 分鐘後回來。
utt002314	請問您要找哪一位?是 Charlie 還是 Tony?
utt002315	系統顯示您的 USB 帳號需要更新,請聯絡行銷部。
utt002316	您撥的分機 547 忙線中,請稍後再撥。
utt002317	您好,這裡是台灣精密,很高興為您服務。
utt002318	Nancy 目前正在開會,大約 16 分鐘後回來。
utt002319	麻煩您撥打 0969-800-631 聯絡 Linda 謝主任,謝謝。
utt002320	謝謝您的來電,祝您有美好的一天,再見。
utt002321	請問您的訂單編號是?方便提供一下嗎?編號是 869575。
utt002322	您的OTP 驗證碼設定已完成,如有問題請撥分機 744。
utt002323	請問您的訂單編號是?方便提供一下嗎?編號是 732268。
utt002324	Henry 楊主任 現在不在位子上,需要幫您留言嗎?
utt002325	我們已經把 Line 群組 寄到您的信箱,請查收。
utt002326	請問您是要報修 Wi-Fi 還是 OTP 驗證碼?
utt002327	麻煩您撥打 0934-439-619 聯絡 Oscar 謝組長,謝謝。
utt002328	您好,請問要預約 Eric 組長 的時間嗎?
utt002329	Jason 的 SSD 硬碟 已經準備好,請到 5 樓領取。
utt002330	您的快遞單號是 4630712615,預計明天送達。
utt002331	您撥的分機 811 忙線中,請稍後再撥。
utt002332	我們已經把 Wi-Fi 寄到您的信箱,請查收。
utt002333	麻煩您撥打 0935-398-406 聯絡 Betty 呂副理,謝謝。
utt002334	幫您轉接給 Henry 邱協理,請稍候。
utt002335	Eric 目前正在開會,大約 33 分鐘後回來。
utt002336	Charlie 的 Excel 報表 已經準備好,請到 3 樓領取。
utt002337	不好意思,David 剛離開,請問要留言給蘇先生嗎?
utt002338	請問您的訂單編號是?方便提供一下嗎?編號是 425432。
utt002339	關於您的 Server 主機 問題,我幫您轉到業務部。
utt002340	您的AI 語音助理設定已完成,如有問題請撥分機 992。
utt002341	今天的會議改到下午 3 點,地點在 9 樓會議室。
utt002342	請問您是要報修 Excel 報表 還是 ERP 系統?
utt002343	請問您要找哪一位?是 Daniel 還是 Betty?
utt002344	不好意思,Andy 剛離開,請問要留言給邱副理嗎?
utt002345	您好,這裡是聯華實業,很高興為您服務。
utt002346	這是 鼎新資訊 的語音信箱,請在嗶聲後留言。
utt002347	不好意思,Betty 剛離開,請問要留言給蘇業務嗎?
utt002348	您好,請問要預約 Jerry 先生 的時間嗎?
utt002349	您好,財務部的 Vivian 謝襄理 為您服務。
utt002350	您好,請問要預約 Frank 課長 的時間嗎?
utt002351	請問是 Rita 先生嗎?蘇助理要找您。
utt002352	Frank 的 Excel 報表 已經準備好,請到 11 樓領取。
utt002353	您的Wi-Fi設定已完成,如有問題請撥分機 834。
utt002354	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002355	您的快遞單號是 3653622448,預計明天送達。
utt002356	Tina 目前正在開會,大約 35 分鐘後回來。
utt002357	謝謝您的來電,祝您有美好的一天,再見。
utt002358	關於您的 Server 主機 問題,我幫您轉到業務部。
utt002359	系統顯示您的 Server 主機 帳號需要更新,請聯絡業務部。
utt002360	幫您轉接給 Andy 曾業務,請稍候。
utt002361	您好,這裡是鼎新資訊,很高興為您服務。
utt002362	不好意思,Alex 剛離開,請問要留言給邱先生嗎?
utt002363	系統顯示您的 PDF 報價單 帳號需要更新,請聯絡技術部。
utt002364	這是 中華電信商辦 的語音信箱,請在嗶聲後留言。
utt002365	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002366	您好,總務部的 Catherine 張經理 為您服務。
utt002367	請問是 Nancy 先生嗎?莊業務要找您。
utt002368	您好,這裡是凌華科技,很高興為您服務。
utt002369	請問您是要報修 QR Code 還是 USB?
utt002370	您好,請問要預約 Alex 經理 的時間嗎?
utt002371	請問您的訂單編號是?方便提供一下嗎?編號是 941166。
utt002372	您好,資訊部的 Brian 呂經理 為您服務。
utt002373	Emily 的 Server 主機 已經準備好,請到 3 樓領取。
utt002374	您好,這裡是全球科技,很高興為您服務。
utt002375	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002376	Tony 目前正在開會,大約 5 分鐘後回來。
utt002377	幫您轉接給 Jerry 王經理,請稍候。
utt002378	請問您的訂單編號是?方便提供一下嗎?編號是 495399。
utt002379	請問是 Steve 先生嗎?劉業務要找您。
utt002380	請問您是要報修 PDF 報價單 還是 CRM 系統?
utt002381	您好,這裡是佳世達,很高興為您服務。
utt002382	麻煩您撥打 0973-976-878 聯絡 Sam 李助理,謝謝。
utt002383	謝謝您的來電,祝您有美好的一天,再見。
utt002384	您的QR Code設定已完成,如有問題請撥分機 057。
utt002385	我們已經把 Excel 報表 寄到您的信箱,請查收。
utt002386	今天的會議改到下午 3 點,地點在 14 樓會議室。
utt002387	Ivy 的 Teams 會議 已經準備好,請到 4 樓領取。
utt002388	您撥的分機 570 忙線中,請稍後再撥。
utt002389	麻煩您撥打 04-3900-9108 聯絡 Kelly 林助理,謝謝。
utt002390	Andy 目前正在開會,大約 12 分鐘後回來。
utt002391	這是 宏達電子 的語音信箱,請在嗶聲後留言。
utt002392	您好,請問要預約 Andy 組長 的時間嗎?
utt002393	您好,請問要預約 Wendy 先生 的時間嗎?
utt002394	請問您是要報修 VPN 還是 API 介面?
utt002395	今天的會議改到下午 5 點,地點在 17 樓會議室。
utt002396	Amy 目前正在開會,大約 21 分鐘後回來。
utt002397	幫您轉接給 Jason 江副理,請稍候。
utt002398	今天的會議改到下午 2 點,地點在 9 樓會議室。
utt002399	我們已經把 Zoom 連結 寄到您的信箱,請查收。
utt002400	請問您的訂單編號是?方便提供一下嗎?編號是 901606。
utt002401	Helen 的 AI 語音助理 已經準備好,請到 9 樓領取。
utt002402	請問您的訂單編號是?方便提供一下嗎?編號是 702946。
utt002403	您好,請問要預約 Sophia 組長 的時間嗎?
utt002404	我們已經把 Zoom 連結 寄到您的信箱,請查收。
utt002405	麻煩您撥打 0963-224-200 聯絡 Vivian 黃主任,謝謝。
utt002406	您的快遞單號是 5141625795,預計明天送達。
utt002407	我們已經把 VPN 寄到您的信箱,請查收。
utt002408	今天的會議改到下午 5 點,地點在 11 樓會議室。
utt002409	您的USB設定已完成,如有問題請撥分機 205。
utt002410	請問是 Sandra 先生嗎?葉課長要找您。
utt002411	您撥的分機 591 忙線中,請稍後再撥。
utt002412	謝謝您的來電,祝您有美好的一天,再見。
utt002413	請問您的訂單編號是?方便提供一下嗎?編號是 772060。
utt002414	Alex 周經理 現在不在位子上,需要幫您留言嗎?
utt002415	您的快遞單號是 6931846756,預計明天送達。
utt002416	Leo 吳小姐 請您回電,電話是 03-9064-1774。
utt002417	您好,這裡是宏達電子,很高興為您服務。
utt002418	您好,請問要預約 Victor 專員 的時間嗎?
utt002419	幫您轉接給 Jerry 王小姐,他的分機是 277。
utt002420	我們已經把 Excel 報表 寄到您的信箱,請查收。
utt002421	麻煩您撥打 05-1192-4466 聯絡 Catherine 邱小姐,謝謝。
utt002422	幫您轉接給 Helen 呂主任,他的分機是 098。
utt002423	您好,請問要預約 Michael 先生 的時間嗎?
utt002424	幫您轉接給 Tina 蘇先生,請稍候。
utt002425	今天的會議改到下午 1 點,地點在 18 樓會議室。
utt002426	幫您轉接給 Ivy 謝組長,請稍候。
utt002427	請問您要找哪一位?是 Sam 還是 Sam?
utt002428	關於您的 Wi-Fi 問題,我幫您轉到人資部。
utt002429	幫您轉接給 Joyce 李專員,請稍候。
utt002430	您好,研發部的 Oscar 江協理 為您服務。
utt002431	我們已經把 USB 寄到您的信箱,請查收。
utt002432	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002433	您好,採購部的 Steve 江工程師 為您服務。
utt002434	您的Zoom 連結設定已完成,如有問題請撥分機 133。
utt002435	請問您是要報修 API 介面 還是 OTP 驗證碼?
utt002436	請問您是要報修 CRM 系統 還是 Outlook?
utt002437	幫您轉接給 Henry 楊先生,請稍候。
utt002438	這是 台灣精密 的語音信箱,請在嗶聲後留言。
utt002439	關於您的 OTP 驗證碼 問題,我幫您轉到資訊部。
utt002440	不好意思,Cindy 剛離開,請問要留言給謝小姐嗎?
utt002441	我們已經把 Server 主機 寄到您的信箱,請查收。
utt002442	您好,這裡是台灣精密,很高興為您服務。
utt002443	幫您轉接給 Cindy 吳協理,他的分機是 945。
utt002444	Vivian 郭組長 請您回電,電話是 06-4653-7331。
utt002445	幫您轉接給 Eric 鄭小姐,他的分機是 853。
utt002446	Alex 的 AI 語音助理 已經準備好,請到 7 樓領取。
utt002447	您好,請問要預約 Vivian 業務 的時間嗎?
utt002448	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt002449	關於您的 QR Code 問題,我幫您轉到法務部。
utt002450	幫您轉接給 Oscar 曾業務,他的分機是 417。
utt002451	Sophia 的 email 已經準備好,請到 8 樓領取。
utt002452	請問您的訂單編號是?方便提供一下嗎?編號是 830727。
utt002453	關於您的 QR Code 問題,我幫您轉到品保部。
utt002454	您的快遞單號是 3742501347,預計明天送達。
utt002455	您的ERP 系統設定已完成,如有問題請撥分機 601。
utt002456	幫您轉接給 Sophia 呂助理,他的分機是 219。
utt002457	請問您要找哪一位?是 Helen 還是 Vivian?
utt002458	您好,請問要預約 Jason 襄理 的時間嗎?
utt002459	關於您的 OTP 驗證碼 問題,我幫您轉到法務部。
utt002460	您好,業務部的 Jason 謝襄理 為您服務。
utt002461	麻煩您撥打 0993-495-565 聯絡 Leo 曾主任,謝謝。
utt002462	您的快遞單號是 9395785736,預計明天送達。
utt002463	請問您是要報修 Excel 報表 還是 email?
utt002464	您的API 介面設定已完成,如有問題請撥分機 5927。
utt002465	關於您的 Wi-Fi 問題,我幫您轉到法務部。
utt002466	我們已經把 ERP 系統 寄到您的信箱,請查收。
utt002467	您的CRM 系統設定已完成,如有問題請撥分機 611。
utt002468	幫您轉接給 Linda 賴業務,他的分機是 2434。
utt002469	謝謝您的來電,祝您有美好的一天,再見。
utt002470	Charlie 王專員 現在不在位子上,需要幫您留言嗎?
utt002471	我們已經把 Excel 報表 寄到您的信箱,請查收。
utt002472	您撥的分機 3207 忙線中,請稍後再撥。
utt002473	請問是 Helen 先生嗎?鄭組長要找您。
utt002474	您的快遞單號是 9278431624,預計明天送達。
utt002475	謝謝您的來電,祝您有美好的一天,再見。
utt002476	請問您是要報修 USB 還是 Teams 會議?
utt002477	幫您轉接給 Vivian 郭經理,他的分機是 981。
utt002478	請問您的訂單編號是?方便提供一下嗎?編號是 190168。
utt002479	謝謝您的來電,祝您有美好的一天,再見。
utt002480	我們已經把 VPN 寄到您的信箱,請查收。
utt002481	關於您的 USB 問題,我幫您轉到採購部。
utt002482	Oscar 吳組長 現在不在位子上,需要幫您留言嗎?
utt002483	您好,財務部的 Jason 王先生 為您服務。
utt002484	我們已經把 Outlook 寄到您的信箱,請查收。
utt002485	不好意思,Michael 剛離開,請問要留言給許顧問嗎?
utt002486	麻煩您撥打 06-4896-3250 聯絡 Victor 黃襄理,謝謝。
utt002487	您的快遞單號是 3419036944,預計明天送達。
utt002488	這是 宏達電子 的語音信箱,請在嗶聲後留言。
utt002489	這是 鼎新資訊 的語音信箱,請在嗶聲後留言。
utt002490	您好,這裡是凌華科技,很高興為您服務。
utt002491	麻煩您撥打 0979-809-347 聯絡 Joyce 廖小姐,謝謝。
utt002492	您好,請問要預約 Tony 小姐 的時間嗎?
utt002493	您的OTP 驗證碼設定已完成,如有問題請撥分機 602。
utt002494	您的快遞單號是 8266579830,預計明天送達。
utt002495	您的快遞單號是 1598296858,預計明天送達。
utt002496	系統顯示您的 Line 群組 帳號需要更新,請聯絡總務部。
utt002497	關於您的 AI 語音助理 問題,我幫您轉到客服部。
utt002498	請問您是要報修 API 介面 還是 Wi-Fi?
utt002499	請問您是要報修 Wi-Fi 還是 QR Code?
utt002500	這是 全球科技 的語音信箱,請在嗶聲後留言。
utt002501	我們已經把 VPN 寄到您的信箱,請查收。
utt002502	這是 宏達電子 的語音信箱,請在嗶聲後留言。
utt002503	請問是 Ivy 先生嗎?鄭工程師要找您。
utt002504	請問您要找哪一位?是 Daniel 還是 Brian?
utt002505	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002506	請問是 Betty 先生嗎?蔡經理要找您。
utt002507	Tina 謝專員 現在不在位子上,需要幫您留言嗎?
utt002508	幫您轉接給 Peter 江助理,他的分機是 492。
utt002509	Joyce 洪專員 請您回電,電話是 03-3034-7875。
utt002510	請問您是要報修 Zoom 連結 還是 Server 主機?
utt002511	您好,請問要預約 Grace 襄理 的時間嗎?
utt002512	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002513	幫您轉接給 Oscar 江課長,他的分機是 778。
utt002514	謝謝您的來電,祝您有美好的一天,再見。
utt002515	我們已經把 SSD 硬碟 寄到您的信箱,請查收。
utt002516	我們已經把 AI 語音助理 寄到您的信箱,請查收。
utt002517	您的Excel 報表設定已完成,如有問題請撥分機 6445。
utt002518	我們已經把 Wi-Fi 寄到您的信箱,請查收。
utt002519	Jerry 目前正在開會,大約 31 分鐘後回來。
utt002520	幫您轉接給 Emily 邱工程師,請稍候。
utt002521	系統顯示您的 PDF 報價單 帳號需要更新,請聯絡總務部。
utt002522	您的QR Code設定已完成,如有問題請撥分機 049。
utt002523	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002524	請問您的訂單編號是?方便提供一下嗎?編號是 615329。
utt002525	幫您轉接給 Frank 呂先生,他的分機是 051。
utt002526	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt002527	您撥的分機 1836 忙線中,請稍後再撥。
utt002528	我們已經把 Zoom 連結 寄到您的信箱,請查收。
utt002529	不好意思,Jerry 剛離開,請問要留言給廖組長嗎?
utt002530	Kevin 許經理 現在不在位子上,需要幫您留言嗎?
utt002531	請問是 Betty 先生嗎?林主任要找您。
utt002532	您好,請問要預約 Charlie 小姐 的時間嗎?
utt002533	Daniel 洪協理 現在不在位子上,需要幫您留言嗎?
utt002534	請問是 Kelly 先生嗎?謝主任要找您。
utt002535	Daniel 的 QR Code 已經準備好,請到 1 樓領取。
utt002536	Oscar 呂小姐 請您回電,電話是 06-8483-5886。
utt002537	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002538	您撥的分機 876 忙線中,請稍後再撥。
utt002539	請問您是要報修 Line 群組 還是 PDF 報價單?
utt002540	您好,這裡是全球科技,很高興為您服務。
utt002541	幫您轉接給 Joyce 鄭助理,請稍候。
utt002542	不好意思,Henry 剛離開,請問要留言給許業務嗎?
utt002543	Victor 周協理 請您回電,電話是 06-6875-8251。
utt002544	謝謝您的來電,祝您有美好的一天,再見。
utt002545	Daniel 周專員 請您回電,電話是 0939-897-637。
utt002546	您撥的分機 131 忙線中,請稍後再撥。
utt002547	您好,人資部的 Rita 林先生 為您服務。
utt002548	麻煩您撥打 02-5121-1831 聯絡 Tony 邱協理,謝謝。
utt002549	幫您轉接給 David 劉顧問,他的分機是 1128。
utt002550	您的Excel 報表設定已完成,如有問題請撥分機 7353。
utt002551	我們已經把 SSD 硬碟 寄到您的信箱,請查收。
utt002552	Karen 蘇顧問 現在不在位子上,需要幫您留言嗎?
utt002553	Brian 曾助理 現在不在位子上,需要幫您留言嗎?
utt002554	這是 宏達電子 的語音信箱,請在嗶聲後留言。
utt002555	Linda 呂組長 現在不在位子上,需要幫您留言嗎?
utt002556	請問是 Karen 先生嗎?吳協理要找您。
utt002557	系統顯示您的 Zoom 連結 帳號需要更新,請聯絡總務部。
utt002558	我們已經把 CRM 系統 寄到您的信箱,請查收。
utt002559	關於您的 Wi-Fi 問題,我幫您轉到業務部。
utt002560	Peter 洪業務 請您回電,電話是 0959-136-182。
utt002561	Karen 目前正在開會,大約 17 分鐘後回來。
utt002562	謝謝您的來電,祝您有美好的一天,再見。
utt002563	麻煩您撥打 06-4671-2880 聯絡 Michael 蘇小姐,謝謝。
utt002564	您的快遞單號是 7847872507,預計明天送達。
utt002565	請問是 Sophia 先生嗎?蘇工程師要找您。
utt002566	今天的會議改到下午 3 點,地點在 15 樓會議室。
utt002567	不好意思,Oscar 剛離開,請問要留言給莊組長嗎?
utt002568	您的快遞單號是 7609572455,預計明天送達。
utt002569	請問您要找哪一位?是 Frank 還是 Karen?
utt002570	這是 全球科技 的語音信箱,請在嗶聲後留言。
utt002571	麻煩您撥打 08-5675-3927 聯絡 Sandra 張小姐,謝謝。
utt002572	您好,這裡是全球科技,很高興為您服務。
utt002573	我們已經把 Outlook 寄到您的信箱,請查收。
utt002574	關於您的 PDF 報價單 問題,我幫您轉到資訊部。
utt002575	麻煩您撥打 05-4891-4619 聯絡 Frank 洪助理,謝謝。
utt002576	Kevin 的 Excel 報表 已經準備好,請到 11 樓領取。
utt002577	謝謝您的來電,祝您有美好的一天,再見。
utt002578	關於您的 SSD 硬碟 問題,我幫您轉到技術部。
utt002579	不好意思,Betty 剛離開,請問要留言給張工程師嗎?
utt002580	今天的會議改到下午 5 點,地點在 3 樓會議室。
utt002581	Charlie 目前正在開會,大約 31 分鐘後回來。
utt002582	我們已經把 CRM 系統 寄到您的信箱,請查收。
utt002583	系統顯示您的 CRM 系統 帳號需要更新,請聯絡研發部。
utt002584	您撥的分機 432 忙線中,請稍後再撥。
utt002585	您撥的分機 744 忙線中,請稍後再撥。
utt002586	您好,請問要預約 Sandra 副理 的時間嗎?
utt002587	Sandra 蘇主任 現在不在位子上,需要幫您留言嗎?
utt002588	請問您的訂單編號是?方便提供一下嗎?編號是 519009。
utt002589	幫您轉接給 Alex 廖助理,請稍候。
utt002590	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002591	您撥的分機 943 忙線中,請稍後再撥。
utt002592	這是 佳世達 的語音信箱,請在嗶聲後留言。
utt002593	您好,這裡是台灣精密,很高興為您服務。
utt002594	您好,請問要預約 Daniel 助理 的時間嗎?
utt002595	我們已經把 Outlook 寄到您的信箱,請查收。
utt002596	我們已經把 Teams 會議 寄到您的信箱,請查收。
utt002597	這是 佳世達 的語音信箱,請在嗶聲後留言。
utt002598	請問您要找哪一位?是 Catherine 還是 Linda?
utt002599	您的快遞單號是 1826164487,預計明天送達。
utt002600	您的CRM 系統設定已完成,如有問題請撥分機 680。
utt002601	這是 佳世達 的語音信箱,請在嗶聲後留言。
utt002602	麻煩您撥打 08-6948-4206 聯絡 Steve 蘇小姐,謝謝。
utt002603	您的API 介面設定已完成,如有問題請撥分機 4573。
utt002604	我們已經把 VPN 寄到您的信箱,請查收。
utt002605	您好,人資部的 Sam 劉襄理 為您服務。
utt002606	Leo 目前正在開會,大約 36 分鐘後回來。
utt002607	關於您的 Line 群組 問題,我幫您轉到財務部。
utt002608	Emily 的 Line 群組 已經準備好,請到 11 樓領取。
utt002609	幫您轉接給 Betty 李副理,他的分機是 8739。
utt002610	幫您轉接給 Sandra 許業務,請稍候。
utt002611	不好意思,Victor 剛離開,請問要留言給吳襄理嗎?
utt002612	系統顯示您的 PDF 報價單 帳號需要更新,請聯絡技術部。
utt002613	謝謝您的來電,祝您有美好的一天,再見。
utt002614	請問是 Peter 先生嗎?劉主任要找您。
utt002615	請問您要找哪一位?是 Daniel 還是 Nancy?
utt002616	請問您的訂單編號是?方便提供一下嗎?編號是 870679。
utt002617	您的快遞單號是 5680464436,預計明天送達。
utt002618	關於您的 AI 語音助理 問題,我幫您轉到業務部。
utt002619	Brian 謝副理 現在不在位子上,需要幫您留言嗎?
utt002620	今天的會議改到下午 3 點,地點在 2 樓會議室。
utt002621	今天的會議改到下午 5 點,地點在 15 樓會議室。
utt002622	請問您的訂單編號是?方便提供一下嗎?編號是 437904。
utt002623	您好,這裡是全球科技,很高興為您服務。
utt002624	幫您轉接給 Tony 洪顧問,他的分機是 214。
utt002625	這是 全球科技 的語音信箱,請在嗶聲後留言。
utt002626	您撥的分機 633 忙線中,請稍後再撥。
utt002627	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002628	我們已經把 QR Code 寄到您的信箱,請查收。
utt002629	系統顯示您的 OTP 驗證碼 帳號需要更新,請聯絡人資部。
utt002630	Charlie 許主任 請您回電,電話是 05-5653-3907。
utt002631	這是 中華電信商辦 的語音信箱,請在嗶聲後留言。
utt002632	請問您的訂單編號是?方便提供一下嗎?編號是 768452。
utt002633	您的OTP 驗證碼設定已完成,如有問題請撥分機 371。
utt002634	麻煩您撥打 02-5463-9769 聯絡 Cindy 郭業務,謝謝。
utt002635	謝謝您的來電,祝您有美好的一天,再見。
utt002636	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002637	Michael 周經理 請您回電,電話是 05-9396-1164。
utt002638	您好,請問要預約 Sandra 襄理 的時間嗎?
utt002639	請問您要找哪一位?是 Jack 還是 Eric?
utt002640	Leo 的 QR Code 已經準備好,請到 11 樓領取。
utt002641	您的USB設定已完成,如有問題請撥分機 6652。
utt002642	您好,請問要預約 Betty 業務 的時間嗎?
utt002643	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002644	幫您轉接給 Michael 蘇助理,請稍候。
utt002645	幫您轉接給 Sandra 蔡助理,請稍候。
utt002646	幫您轉接給 Henry 劉經理,他的分機是 287。
utt002647	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002648	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002649	Tina 的 ERP 系統 已經準備好,請到 8 樓領取。
utt002650	關於您的 AI 語音助理 問題,我幫您轉到人資部。
utt002651	謝謝您的來電,祝您有美好的一天,再見。
utt002652	您的Line 群組設定已完成,如有問題請撥分機 0015。
utt002653	請問您是要報修 PDF 報價單 還是 email?
utt002654	您撥的分機 073 忙線中,請稍後再撥。
utt002655	幫您轉接給 Betty 謝副理,他的分機是 586。
utt002656	我們已經把 CRM 系統 寄到您的信箱,請查收。
utt002657	請問您要找哪一位?是 Ivy 還是 David?
utt002658	請問您的訂單編號是?方便提供一下嗎?編號是 778666。
utt002659	請問您的訂單編號是?方便提供一下嗎?編號是 422511。
utt002660	您的QR Code設定已完成,如有問題請撥分機 227。
utt002661	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002662	Michael 王主任 請您回電,電話是 07-7063-4578。
utt002663	幫您轉接給 Steve 鄭助理,他的分機是 573。
utt002664	Sandra 賴業務 請您回電,電話是 02-2666-5632。
utt002665	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt002666	謝謝您的來電,祝您有美好的一天,再見。
utt002667	今天的會議改到下午 5 點,地點在 6 樓會議室。
utt002668	您的Wi-Fi設定已完成,如有問題請撥分機 903。
utt002669	您好,資訊部的 Emily 蘇顧問 為您服務。
utt002670	系統顯示您的 OTP 驗證碼 帳號需要更新,請聯絡業務部。
utt002671	請問您的訂單編號是?方便提供一下嗎?編號是 768654。
utt002672	您好,請問要預約 Ivy 副理 的時間嗎?
utt002673	不好意思,Sam 剛離開,請問要留言給劉組長嗎?
utt002674	麻煩您撥打 05-9004-5122 聯絡 Grace 曾協理,謝謝。
utt002675	Grace 劉專員 現在不在位子上,需要幫您留言嗎?
utt002676	您好,業務部的 Ivy 周課長 為您服務。
utt002677	麻煩您撥打 0991-299-403 聯絡 Emily 蘇工程師,謝謝。
utt002678	這是 全球科技 的語音信箱,請在嗶聲後留言。
utt002679	您好,請問要預約 Daniel 組長 的時間嗎?
utt002680	您的API 介面設定已完成,如有問題請撥分機 047。
utt002681	Andy 目前正在開會,大約 21 分鐘後回來。
utt002682	幫您轉接給 Kevin 江業務,請稍候。
utt002683	您的QR Code設定已完成,如有問題請撥分機 9447。
utt002684	請問您是要報修 SSD 硬碟 還是 PDF 報價單?
utt002685	Betty 目前正在開會,大約 30 分鐘後回來。
utt002686	Oscar 的 PDF 報價單 已經準備好,請到 2 樓領取。
utt002687	請問是 Alex 先生嗎?廖經理要找您。
utt002688	謝謝您的來電,祝您有美好的一天,再見。
utt002689	不好意思,Victor 剛離開,請問要留言給葉組長嗎?
utt002690	請問您是要報修 Server 主機 還是 Teams 會議?
utt002691	這是 聯華實業 的語音信箱,請在嗶聲後留言。
utt002692	幫您轉接給 Charlie 周副理,他的分機是 837。
utt002693	Tony 目前正在開會,大約 8 分鐘後回來。
utt002694	您好,研發部的 Sandra 邱助理 為您服務。
utt002695	您好,請問要預約 Vivian 顧問 的時間嗎?
utt002696	Karen 郭課長 請您回電,電話是 0917-281-402。
utt002697	麻煩您撥打 0987-965-793 聯絡 Sandra 楊助理,謝謝。
utt002698	這是 聯華實業 的語音信箱,請在嗶聲後留言。
utt002699	麻煩您撥打 04-4158-2404 聯絡 Karen 許協理,謝謝。
utt002700	您的SSD 硬碟設定已完成,如有問題請撥分機 504。
utt002701	請問您要找哪一位?是 Eric 還是 Andy?
utt002702	謝謝您的來電,祝您有美好的一天,再見。
utt002703	謝謝您的來電,祝您有美好的一天,再見。
utt002704	我們已經把 SSD 硬碟 寄到您的信箱,請查收。
utt002705	幫您轉接給 Steve 楊先生,請稍候。
utt002706	請問您是要報修 OTP 驗證碼 還是 Server 主機?
utt002707	不好意思,Tina 剛離開,請問要留言給張工程師嗎?
utt002708	不好意思,David 剛離開,請問要留言給黃經理嗎?
utt002709	系統顯示您的 Excel 報表 帳號需要更新,請聯絡品保部。
utt002710	您的快遞單號是 1695541254,預計明天送達。
